"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","test_TC141_Validar_error_al_actualizar_taxon_con_referencia_de_taxon_padre_invalido","tests.catalog.taxons","Wed Nov 05 15:45:01 UTC 2025","passed","Wed Nov 05 15:45:01 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","191","test_TC_Obtener_lista_de_taxones_con_paginacion_invalida[1.5-1]","tests.catalog.taxons","Wed Nov 05 15:44:39 UTC 2025","skipped","Wed Nov 05 15:44:39 UTC 2025","","test_HU10_EA_GET_Taxons","",""
"","193","test_TC_Crear_traduccion_de_taxon_con_name_y_slug_valido[a-bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb]","tests.catalog.taxons","Wed Nov 05 15:44:49 UTC 2025","passed","Wed Nov 05 15:44:49 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","365","test_TC135_Actualizar_taxon_existente_con_datos_validos","tests.catalog.taxons","Wed Nov 05 15:44:54 UTC 2025","passed","Wed Nov 05 15:44:55 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","191","test_TC387_Crear_taxon_sin_descripcion_en_traduccion","tests.catalog.taxons","Wed Nov 05 15:44:54 UTC 2025","passed","Wed Nov 05 15:44:54 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","191","test_TC_Actualizar_traduccion_de_taxon_con_name_y_slug_valido[ggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg-test-slug]","tests.catalog.taxons","Wed Nov 05 15:45:14 UTC 2025","passed","Wed Nov 05 15:45:14 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","199","test_TC_Obtener_lista_de_taxones_con_paginacion_invalida[1--1]","tests.catalog.taxons","Wed Nov 05 15:44:39 UTC 2025","passed","Wed Nov 05 15:44:39 UTC 2025","","test_HU10_EA_GET_Taxons","",""
"","199","test_TC142_Crear_taxon_sin_referencia_de_taxon_padre","tests.catalog.taxons","Wed Nov 05 15:44:47 UTC 2025","passed","Wed Nov 05 15:44:47 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","191","test_TC_Actualizar_traduccion_de_taxon_con_name_y_slug_valido[eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-c]","tests.catalog.taxons","Wed Nov 05 15:45:12 UTC 2025","passed","Wed Nov 05 15:45:12 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","151","test_TC_Autenticacion_fallida_400[payload3]","tests.login","Wed Nov 05 15:45:24 UTC 2025","passed","Wed Nov 05 15:45:25 UTC 2025","","test_HU01_EA_POST_LoginAdmin","",""
