"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 20 04:05:47 GMT 2025","Mon Oct 20 04:05:47 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC134_Crear_taxon_con_estado_desactivado",""
"broken","Mon Oct 20 04:05:47 GMT 2025","Mon Oct 20 04:05:47 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC386_Crear_taxon_con_descripcion_en_traduccion",""
"broken","Mon Oct 20 04:05:47 GMT 2025","Mon Oct 20 04:05:47 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC_Crear_taxon_con_code_valido[code_test]",""
"broken","Mon Oct 20 04:05:47 GMT 2025","Mon Oct 20 04:05:47 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC_Validar_error_al_crear_traduccion_de_taxon_con_name_y_slug_invalido[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]",""
"broken","Mon Oct 20 04:05:47 GMT 2025","Mon Oct 20 04:05:47 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC_Crear_traduccion_de_taxon_con_name_y_slug_valido[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-test_slug]",""
"passed","Mon Oct 20 04:05:45 GMT 2025","Mon Oct 20 04:05:45 GMT 2025","517","tests.catalog.taxons","test_HU10_EA_GET_Taxons","","","","test_TC107_Listar_taxones_sin_autenticacion",""
"broken","Mon Oct 20 04:05:46 GMT 2025","Mon Oct 20 04:05:46 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC121_Crear_taxon_con_todos_los_campos_validos",""
"broken","Mon Oct 20 04:05:47 GMT 2025","Mon Oct 20 04:05:47 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC129_Validar_error_al_crear_taxon_con_referencia_de_taxon_padre_invalido",""
"broken","Mon Oct 20 04:05:46 GMT 2025","Mon Oct 20 04:05:46 GMT 2025","0","tests.catalog.taxons","test_HU11_EA_GET_Taxon","","","","test_TC112_Validar_error_al_obtener_taxon_por_code_inexistente",""
"broken","Mon Oct 20 04:05:46 GMT 2025","Mon Oct 20 04:05:46 GMT 2025","0","tests.catalog.taxons","test_HU10_EA_GET_Taxons","","","","test_TC_Obtener_lista_de_taxones_con_paginacion_valida[1-0]",""
"broken","Mon Oct 20 04:05:47 GMT 2025","Mon Oct 20 04:05:47 GMT 2025","0","tests.catalog.taxons","test_HU12_EA_POST_Taxon","","","","test_TC_Validar_error_al_crear_traduccion_de_taxon_con_name_y_slug_invalido[-]",""
"passed","Mon Oct 20 04:05:45 GMT 2025","Mon Oct 20 04:05:46 GMT 2025","558","tests.catalog.taxons","test_HU10_EA_GET_Taxons","","","","test_TC108_Listar_taxones_con_token_invalido",""
"broken","Mon Oct 20 04:05:46 GMT 2025","Mon Oct 20 04:05:46 GMT 2025","0","tests.catalog.taxons","test_HU10_EA_GET_Taxons","","","","test_TC_Obtener_lista_de_taxones_con_paginacion_valida[1-None]",""
